----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
----------run:7-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -103.437          -23.4           0.2            
1               300                -79.999           -23.4           0.75199203187251
2               400                -70.571           -23.4           0.6386233269598471
3               500                -63.215           -23.4           0.617601246105919
4               600                -59.261           -22             0.6073446327683617
5               700                -56.351           -22             0.5857438016528926
6               800                -53.213           -22             0.5907553551296505
7               900                -51.73            -22             0.5985489721886336
8               1000               -50.125           -22             0.5933503836317136
9               1100               -48.928           -22             0.5951742627345845
10              1200               -47.904           -22             0.5932678821879384
11              1300               -46.998           -15             0.6008708272859216
12              1400               -45.879           -15             0.5443548387096775
13              1500               -45.111           -15             0.5416666666666666
14              1600               -44.264           -15             0.5390070921985816
15              1700               -43.401           -15             0.544395924308588
16              1800               -42.688           -15             0.550595238095238
17              1900               -42.033           -15             0.547945205479452
18              2000               -41.587           -15             0.5534883720930233
----------run:8-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -108.42           -23             0.2            
1               300                -80.0             -23             0.7710805746408496
2               400                -68.416           -23             0.6388550548112057
3               500                -62.784           -15.6           0.6232821341956345
4               600                -58.117           -15.6           0.5714285714285714
5               700                -55.223           -15.6           0.5750487329434697
6               800                -53.155           -15.6           0.5548455804046858
7               900                -51.314           -15.6           0.5536912751677852
8               1000               -50.31            -15.6           0.55           
9               1100               -48.708           -15.6           0.5547445255474452
10              1200               -47.442           -15.6           0.5448717948717947
11              1300               -46.406           -15.6           0.5365853658536586
12              1400               -46.018           -15.6           0.5454545454545453
13              1500               -45.192           -15.6           0.5518207282913165
14              1600               -44.658           -15.6           0.5502873563218389
15              1700               -44.042           -15.6           0.5487627365356623
16              1800               -43.566           -15.6           0.5455904334828101
17              1900               -43.314           -15.6           0.5484848484848485
18              2000               -42.496           -15.6           0.5499231950844853
----------run:9-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -106.387          -22             0.2            
1               300                -75.626           -22             0.7552402450822315
2               400                -65.791           -22             0.6785034876347495
3               500                -61.459           -22             0.607659574468085
4               600                -58.749           -22             0.5935039370078741
5               700                -56.377           -22             0.56353591160221
6               800                -53.903           -22             0.5510204081632654
7               900                -52.853           -22             0.583743842364532
8               1000               -50.925           -22             0.5913705583756346
9               1100               -49.429           -21             0.5874499332443257
10              1200               -48.118           -20.6           0.5880758807588077
11              1300               -46.915           -20.6           0.5980662983425414
12              1400               -46.051           -20.6           0.6097560975609757
13              1500               -45.349           -20.6           0.6129032258064516
14              1600               -44.428           -20.6           0.6149253731343283
15              1700               -43.639           -20.6           0.5974643423137875
16              1800               -43.028           -20.6           0.604200323101777
17              1900               -42.542           -20.6           0.5990016638935107
18              2000               -41.897           -20.6           0.5972696245733788
----------run:10-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -103.166          -12.6           0.2            
1               300                -79.514           -12.6           0.7309124767225326
2               400                -67.729           -12.6           0.6010830324909748
3               500                -62.819           -12.6           0.5705705705705706
4               600                -58.92            -12.6           0.5475578406169666
5               700                -56.497           -12.6           0.5228377065111758
6               800                -53.849           -12.6           0.521604938271605
7               900                -52.38            -12.6           0.5294117647058824
8               1000               -50.836           -12.6           0.5192743764172336
9               1100               -49.878           -12.6           0.5217903415783274
10              1200               -48.321           -12.6           0.5134803921568627
11              1300               -47.564           -12.6           0.5178117048346055
12              1400               -46.822           -12.6           0.5155038759689922
13              1500               -45.751           -12.6           0.5230566534914362
14              1600               -45.281           -12.6           0.5238095238095237
15              1700               -44.629           -12.6           0.5188284518828452
16              1800               -43.712           -12.6           0.5156695156695157
17              1900               -43.192           -12.6           0.519650655021834
18              2000               -42.661           -12.6           0.514074074074074
----------run:11-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -101.272          -24.2           0.2            
1               300                -75.662           -24.2           0.7655615696887685
2               400                -67.446           -23             0.6537704918032786
3               500                -61.945           -12.8           0.6140939597315436
4               600                -57.655           -12.8           0.5602049530315968
5               700                -54.211           -12.8           0.5453667953667953
6               800                -51.321           -12.8           0.547052740434333
7               900                -50.139           -12.8           0.5441340782122905
8               1000               -48.719           -12.8           0.5459837019790453
9               1100               -48.025           -12.8           0.5492102065613609
10              1200               -46.482           -12.8           0.5444305381727158
11              1300               -45.819           -12.8           0.5342105263157895
12              1400               -44.726           -12.8           0.5296495956873315
13              1500               -43.753           -12.8           0.5276243093922651
14              1600               -43.314           -12.8           0.5351123595505618
15              1700               -42.856           -12.8           0.5410764872521246
16              1800               -41.969           -12.8           0.5374639769452448
17              1900               -41.287           -12.8           0.5364041604754828
18              2000               -40.832           -12.8           0.5297709923664122
----------run:12-------
