----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
17              1900               -41.611           -18.2           0.19957086680369707
18              2000               -41.132           -18.2           0.19781701782281605
----------run:29-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -107.321          -16.8           0.1956177258996736
1               300                -80.219           -16.8           0.19677136462044598
2               400                -68.80799999999999 -16.8           0.1936135062527799
3               500                -62.466           -16.8           0.19899008186444284
4               600                -57.77            -16.8           0.1963332958836511
5               700                -55.343           -16.8           0.19916768499046936
6               800                -53.06            -16.8           0.19768220904062775
7               900                -51.106           -16.8           0.19720486606506923
8               1000               -49.188           -16.8           0.19905101489474183
9               1100               -47.251           -16.8           0.19717328837281617
10              1200               -45.895           -15.8           0.19782231724291086
11              1300               -45.016           -15.8           0.19645087715268753
12              1400               -44.258           -15.8           0.19609470938451665
13              1500               -43.645           -15.8           0.19750978655493143
14              1600               -43.376           -15.8           0.19781328802720952
15              1700               -42.793           -15.8           0.1981412521455101
16              1800               -42.123           -15.8           0.19990639550658354
17              1900               -41.818           -15.8           0.1997169968553687
18              2000               -41.293           -15.8           0.20030405919902888
