----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
12              1400               -44.392           -20.2           0.20156741127701952
13              1500               -43.401           -20.2           0.20158147266321455
14              1600               -43.123           -20.2           0.20185072594202141
15              1700               -42.356           -20.2           0.200190769457098
16              1800               -41.471           -20.2           0.20093838074509482
17              1900               -41.179           -20.2           0.20098421537040867
18              2000               -40.752           -20.2           0.2002060690082563
----------run:7-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -100.775          -25             0.19832963297758066
1               300                -75.846           -25             0.2036447340920555
2               400                -67.029           -25             0.20399756921695886
3               500                -62.716           -25             0.20304790591458066
4               600                -59.525           -25             0.2038712034164827
5               700                -57.093           -25             0.1992599937497095
6               800                -55.276           -25             0.19974060986048012
7               900                -53.267           -25             0.2028086427822516
8               1000               -51.583           -25             0.20361602104974186
9               1100               -50.149           -25             0.20567086865804607
10              1200               -48.347           -25             0.20274254849547657
11              1300               -46.945           -25             0.20158367580557848
12              1400               -45.784           -23.4           0.1984990819790789
13              1500               -44.712           -23.4           0.19886183026902915
14              1600               -44.043           -23.4           0.20042306235958995
15              1700               -43.302           -23.4           0.2006585096812317
16              1800               -42.511           -23.4           0.20172910424018142
17              1900               -41.874           -23.4           0.20181473060431473
18              2000               -40.75            -23             0.20168945266789876
----------run:8-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -102.306          -24.8           0.20143769699396882
1               300                -77.57            -23             0.20933848676741013
2               400                -67.516           -23             0.20793637643309149
3               500                -62.013           -23             0.20618471077459452
4               600                -58.309           -23             0.2028084841635223
5               700                -56.13            -23             0.2056012534129571
6               800                -52.637           -23             0.20346788629418858
7               900                -50.305           -20.6           0.20363766778140208
8               1000               -48.548           -20.6           0.20038400641718274
9               1100               -47.095           -20.6           0.20233890157087372
10              1200               -45.927           -20.6           0.19987817015442763
11              1300               -44.916           -20.6           0.19966611152546238
12              1400               -44.175           -20.6           0.1991479162383745
13              1500               -43.145           -20.6           0.19865197727485767
14              1600               -42.252           -20.6           0.19725898671632935
15              1700               -41.678           -20.6           0.19703997428031572
16              1800               -40.929           -20.6           0.20056362652179582
17              1900               -40.377           -20.6           0.20277304496833348
18              2000               -39.943           -20.6           0.20151507725032047
----------run:9-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -106.258          -21.4           0.19690709986288352
1               300                -79.637           -21.4           0.1925195879937631
2               400                -67.81            -21.4           0.2017635228942251
3               500                -63.001           -21.4           0.20310363658175226
4               600                -58.933           -21.4           0.20558369927352346
5               700                -56.047           -21.4           0.2056750130124881
6               800                -52.466           -14.4           0.2080472898050981
7               900                -50.576           -14.4           0.20889312158763043
8               1000               -49.177           -14.4           0.20863414790556234
9               1100               -47.797           -14.4           0.20977402468114123
10              1200               -46.668           -14.4           0.20710702194906572
11              1300               -45.589999999999996 -14.4           0.20459430842890866
12              1400               -44.934           -14.4           0.20157221126261385
13              1500               -43.728           -14.4           0.2013595738792458
14              1600               -42.629           -14.4           0.20270276216151684
15              1700               -41.98            -14.4           0.20116368378822244
16              1800               -40.881           -14.4           0.20332630171115748
17              1900               -40.484           -14.4           0.20506070344148922
18              2000               -39.767           -14.4           0.20509427474371011
----------run:10-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -101.482          -15             0.2013851080357755
1               300                -78.657           -15             0.2036567605620548
2               400                -67.304           -15             0.20509194808985123
3               500                -62.283           -15             0.20653791258884135
4               600                -58.46            -15             0.2053718760766834
5               700                -55.168           -15             0.20572413412989338
6               800                -53.533           -15             0.20337622628080254
7               900                -51.162           -15             0.20808190225839396
8               1000               -49.638           -15             0.20427597075721748
9               1100               -48.537           -15             0.20421513916952097
10              1200               -47.564           -15             0.20620802763281892
11              1300               -46.858           -15             0.202505551536238
12              1400               -46.294           -15             0.20373277722696778
13              1500               -45.693           -15             0.20478393121323188
14              1600               -45.177           -15             0.20454893715334618
15              1700               -44.663           -15             0.20252594790787326
16              1800               -44.254           -15             0.20304364051151272
17              1900               -43.631           -15             0.201874648063383
18              2000               -43.04            -15             0.20264565929647838
----------run:11-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -107.636          -23.8           0.19787684450396892
1               300                -81.645           -23.8           0.19886449330619826
2               400                -71.75            -23.8           0.2001908829071716
3               500                -64.13            -23.8           0.1978793605894763
4               600                -60.251           -23.8           0.19764190326018127
5               700                -57.385           -23.8           0.19728737515847536
6               800                -55.079           -23.8           0.19954962111187696
7               900                -52.828           -23.8           0.20448339351386927
8               1000               -50.779           -23.8           0.20438145364039262
9               1100               -49.35            -23.8           0.20293777058153084
10              1200               -48.167           -23.8           0.20013690227374586
11              1300               -46.691           -23.8           0.20288718722233087
12              1400               -45.733           -23.8           0.20224244575951525
13              1500               -44.503           -23             0.20244623089789307
14              1600               -43.452           -23             0.2012943626461501
15              1700               -42.591           -21             0.19688122746722625
16              1800               -41.872           -21             0.19793046433492278
17              1900               -41.102000000000004 -21             0.19673570351499275
18              2000               -40.593           -21             0.19953550433828607
----------run:12-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -103.603          -32             0.20108628550500562
1               300                -76.066           -25             0.19982148294064023
2               400                -66.249           -25             0.2016066407633926
3               500                -61.941           -25             0.20528629624939285
4               600                -57.382           -22.2           0.20758778888796003
5               700                -54.533           -22.2           0.20717588329463246
6               800                -52.073           -22.2           0.20451310296582492
7               900                -50.121           -22.2           0.20335876293798652
8               1000               -48.506           -19.4           0.20199787415707768
9               1100               -47.249           -19.4           0.20105484291325215
10              1200               -46.271           -19.4           0.20025408433531702
11              1300               -45.319           -19.4           0.19845564749032604
12              1400               -44.296           -16             0.200329601400637
13              1500               -43.387           -16             0.20143191819885797
14              1600               -42.983           -16             0.2024850447825231
15              1700               -42.151           -13             0.20096984937022486
16              1800               -41.327           -13             0.20141581520379373
17              1900               -40.715           -13             0.20134475619465178
18              2000               -40.404           -13             0.20055461793157228
----------run:13-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -103.265          -23.4           0.19244856690869108
1               300                -78.465           -23.2           0.19932673778786672
2               400                -69.086           -22.8           0.19936203909006814
3               500                -63.852           -22.8           0.20090723286175122
4               600                -58.647           -22.8           0.20896750733185449
5               700                -55.28            -22.8           0.20741472339164022
6               800                -53.176           -22.8           0.20430474699514398
7               900                -51.004           -22.8           0.2046317139356253
8               1000               -49.23            -17             0.20574793713638068
9               1100               -48.098           -17             0.20684218178762417
10              1200               -47.115           -17             0.20544237668764936
11              1300               -46.071           -17             0.20454585051871332
12              1400               -45.027           -17             0.20381679358987853
13              1500               -44.445           -17             0.20313684958358486
14              1600               -43.427           -17             0.20457056931236842
15              1700               -42.568           -17             0.20475527094707335
16              1800               -42.106           -17             0.20451872638604524
17              1900               -41.726           -17             0.20661893391770095
18              2000               -41.143           -17             0.2048585674120706
----------run:14-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -101.817          -23             0.2005794295140635
1               300                -74.324           -23             0.2046139826798366
2               400                -65.295           -15.8           0.20242465463252637
3               500                -59.452           -15.8           0.2011526111852668
4               600                -56.374           -15.8           0.20113232477065102
5               700                -54.134           -15.8           0.19777211564776484
6               800                -52.25            -15.8           0.19883016026917005
7               900                -50.806           -15.8           0.19694122033809683
8               1000               -49.714           -15.8           0.19773630645667728
9               1100               -48.636           -15.8           0.19822056631273274
10              1200               -47.629           -15.8           0.19536698270190303
11              1300               -46.248           -15.8           0.19422230284475472
12              1400               -45.053           -15.8           0.1990107357519753
13              1500               -44.165           -15.8           0.20110726352648145
14              1600               -43.429           -15.8           0.20249385247332352
15              1700               -42.73            -15.8           0.20148299440485132
16              1800               -42.436           -15.8           0.20091806837375223
17              1900               -42.106           -15.8           0.20166916181904812
18              2000               -41.73            -15.8           0.2001706507652916
----------run:15-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -100.41           -24.8           0.20207696371570133
1               300                -75.94800000000001 -24.8           0.20528917842921016
2               400                -67.664           -24.8           0.20262508509898747
3               500                -61.606           -24.8           0.20198269158188104
4               600                -57.533           -24.8           0.20133341155595125
5               700                -54.045           -23.8           0.20134013049362334
6               800                -52.065           -23.8           0.20330623813813564
7               900                -49.8             -16             0.20545245620759928
8               1000               -48.528           -16             0.20218459965857222
9               1100               -46.996           -16             0.20266980239963892
10              1200               -45.437           -16             0.20372264010123875
11              1300               -44.099           -16             0.20163220335204035
12              1400               -42.931           -16             0.19884586997442286
13              1500               -42.143           -16             0.20138473834585793
14              1600               -41.569           -16             0.20152964597783626
15              1700               -40.967999999999996 -16             0.20474356547566291
16              1800               -40.585           -16             0.20506124948317367
17              1900               -39.948           -16             0.20650023802001105
18              2000               -39.249           -16             0.203879701144451
----------run:16-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -102.534          -24             0.19778051415891928
1               300                -75.456           -24             0.1991999527801713
2               400                -65.522           -18             0.19827335549302755
3               500                -60.797           -18             0.20069417979550871
4               600                -57.702           -18             0.20223687228127402
5               700                -54.704           -18             0.1986153570984173
6               800                -52.411           -18             0.19580400056037056
7               900                -50.639           -18             0.19888184857697316
8               1000               -49.125           -18             0.20045808207959637
9               1100               -47.823           -18             0.1994150504623264
10              1200               -46.711           -18             0.1961563857858148
11              1300               -45.689           -18             0.1965856947673105
12              1400               -45.002           -18             0.1975408618988037
13              1500               -44.482           -18             0.1977601402329963
14              1600               -43.967           -18             0.19728032060149187
15              1700               -43.359           -18             0.19543427524268348
16              1800               -42.607           -18             0.1986246114956411
17              1900               -41.988           -17             0.20112361199540799
18              2000               -41.477           -17             0.20164910368010647
----------run:17-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -97.75            -22             0.19713796193292546
1               300                -72.528           -22             0.19783373163055282
2               400                -65.382           -22             0.20114693252243895
3               500                -58.943           -22             0.20076632183579995
4               600                -55.257           -21             0.20364082840007822
5               700                -52.712           -21             0.20350009409056935
6               800                -51.405           -21             0.20311623159162942
7               900                -48.67            -21             0.201798311916664
8               1000               -46.82            -21             0.19915976003863894
9               1100               -45.116           -14             0.19939036311473685
10              1200               -44.479           -14             0.2004084986384471
11              1300               -43.695           -14             0.20186335595894192
12              1400               -43.016           -14             0.2023975453377674
13              1500               -42.147           -14             0.20265620088983627
14              1600               -41.456           -14             0.20055806556712846
15              1700               -41.028           -14             0.20085510631506626
16              1800               -40.38            -14             0.20389623561258097
17              1900               -39.71            -14             0.2047696037537734
18              2000               -39.24            -14             0.2047729311453303
----------run:18-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -105.13           -28.8           0.19922041357952555
1               300                -76.79            -28.8           0.20047518250896076
2               400                -67.211           -25             0.19984728019412942
3               500                -60.85            -22             0.1958591781891488
4               600                -56.586           -22             0.19577760763429078
5               700                -53.696           -22             0.19306549093090944
6               800                -51.383           -17.4           0.19308771988571719
7               900                -50.035           -17.4           0.19383084396768285
8               1000               -48.484           -17.4           0.1952479441229139
9               1100               -47.646           -17.4           0.19458783175103686
10              1200               -46.151           -17.4           0.1945469723171345
11              1300               -45.103           -17.4           0.19593106934965465
12              1400               -44.358           -17.4           0.19457133263466483
13              1500               -43.089           -17.4           0.19545472833796668
14              1600               -42.381           -17.4           0.19411381954820142
15              1700               -41.29            -17.4           0.1910997541567079
16              1800               -40.548           -17.4           0.19193858557232982
17              1900               -39.715           -17.4           0.19149185882138334
18              2000               -38.769           -17.4           0.19537525324649566
----------run:19-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -99.147           -14.6           0.20264330827088364
1               300                -75.099           -14.6           0.20536431037132932
2               400                -65.855           -14.6           0.2051919847428832
3               500                -60.604           -14.6           0.2040864690857507
4               600                -56.573           -14.6           0.20015871205380845
5               700                -53.818           -14.6           0.20208408632490826
6               800                -52.114           -14.6           0.20285477635521454
7               900                -51.04            -14.6           0.20241349206538103
8               1000               -49.217           -14.6           0.2030974369590993
9               1100               -48.662           -14.6           0.20482665140483053
10              1200               -47.263           -14.6           0.2078152387940966
11              1300               -46.245           -14.6           0.20780743399740342
12              1400               -45.187           -14.6           0.20603811914253148
13              1500               -43.805           -14.6           0.2032965513986426
14              1600               -43.309           -14.6           0.2023419814163964
15              1700               -42.932           -14.6           0.20186335195733313
16              1800               -42.674           -14.6           0.19996969811920143
17              1900               -41.912           -14.6           0.1985939654679949
18              2000               -41.251           -14.6           0.19728969783488537
----------run:20-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -106.097          -17.2           0.19418770998146045
1               300                -76.014           -17.2           0.19185343376659755
2               400                -66.74            -17.2           0.19416305890284946
3               500                -61.631           -17.2           0.19907913617284473
4               600                -58.69            -17.2           0.19896526688260638
5               700                -56.133           -17.2           0.19493873206753004
6               800                -53.447           -17.2           0.19652156806404955
7               900                -51.057           -17.2           0.20156521576531414
8               1000               -50.092           -17.2           0.20145394047101045
9               1100               -48.719           -17.2           0.19720905901334285
10              1200               -47.842           -17.2           0.19785654845835443
11              1300               -47.032000000000004 -17.2           0.19847593218768983
12              1400               -46.3             -17.2           0.19926586041692448
13              1500               -45.042           -17.2           0.2006682757671231
14              1600               -44.667           -17.2           0.20059277135736175
15              1700               -43.895           -17.2           0.20006848892790263
16              1800               -43.15            -17.2           0.20050051045278539
17              1900               -42.134           -17             0.1991097480228559
18              2000               -41.909           -17             0.1995559083278123
----------run:21-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -113.878          -23.4           0.19614998739400805
